Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income,Per_Capita_Income,Age_Group,Experience_Group,Is_Anomaly
58,Bachelor's,Others,5,Urban,38,Married,Self-employed,3,Own,Single-family home,Female,Public transit,69630,23210,50–59,16+ yrs,Yes
64,High School,Technology,4,Urban,8,Single,Full-time,7,Own,Townhouse,Male,Biking,70714,10102,60–70,6–10 yrs,No
35,Master's,Technology,2,Urban,0,Married,Full-time,1,Own,Single-family home,Male,Public transit,65522,65522,30–39,0–5 yrs,Yes
38,Master's,Finance,4,Urban,17,Married,Self-employed,3,Rent,Single-family home,Female,Public transit,68220,22740,30–39,16+ yrs,Yes
30,High School,Education,2,Rural,49,Single,Full-time,4,Rent,Single-family home,Male,Biking,297852,74463,30–39,16+ yrs,Yes
38,Bachelor's,Technology,2,Urban,47,Married,Part-time,2,Rent,Single-family home,Female,Biking,4359552,2179776,30–39,16+ yrs,Yes
25,Master's,Technology,4,Urban,21,Single,Full-time,4,Own,Single-family home,Female,Car,67366,16841.5,18–29,16+ yrs,Yes
63,Bachelor's,Technology,3,Urban,47,Married,Full-time,6,Own,Apartment,Female,Public transit,69026,11504.33333,60–70,16+ yrs,No
57,Bachelor's,Finance,4,Urban,36,Married,Part-time,1,Own,Single-family home,Female,Car,70654,70654,50–59,16+ yrs,Yes
63,Bachelor's,Healthcare,5,Urban,13,Married,Full-time,1,Rent,Single-family home,Female,Car,35166,35166,60–70,11–15 yrs,Yes
24,High School,Technology,0,Urban,21,Single,Self-employed,6,Rent,Single-family home,Male,Car,74934,12489,18–29,16+ yrs,Yes
40,Bachelor's,Healthcare,4,Suburban,32,Single,Full-time,1,Own,Apartment,Male,Biking,71952,71952,40–49,16+ yrs,Yes
61,High School,Healthcare,3,Urban,5,Single,Full-time,6,Own,Single-family home,Female,Car,1696500,282750,60–70,0–5 yrs,No
49,Bachelor's,Technology,4,Rural,26,Married,Full-time,7,Own,Single-family home,Female,Walking,65580,9368.571429,40–49,16+ yrs,No
28,High School,Healthcare,3,Urban,5,Married,Part-time,6,Rent,Single-family home,Male,Car,682805,113800.8333,18–29,0–5 yrs,No
39,Master's,Technology,0,Rural,43,Divorced,Self-employed,6,Rent,Apartment,Male,Biking,67228,11204.66667,30–39,16+ yrs,Yes
39,Bachelor's,Healthcare,1,Urban,49,Married,Part-time,3,Own,Single-family home,Female,Walking,72084,24028,30–39,16+ yrs,Yes
60,High School,Education,3,Suburban,40,Married,Full-time,3,Rent,Townhouse,Male,Public transit,1455978,485326,60–70,16+ yrs,No
42,Bachelor's,Healthcare,3,Urban,15,Married,Part-time,7,Own,Apartment,Female,Public transit,2311922,330274.5714,40–49,11–15 yrs,No
39,High School,Healthcare,5,Urban,46,Single,Self-employed,5,Rent,Single-family home,Male,Public transit,5123948,1024789.6,30–39,16+ yrs,Yes
45,Bachelor's,Finance,3,Urban,1,Divorced,Full-time,1,Own,Apartment,Male,Biking,400202,400202,40–49,0–5 yrs,Yes
46,Bachelor's,Technology,0,Urban,36,Single,Full-time,4,Own,Single-family home,Female,Public transit,83248,20812,40–49,16+ yrs,Yes
30,High School,Others,2,Urban,28,Married,Part-time,1,Rent,Single-family home,Female,Walking,74122,74122,30–39,16+ yrs,Yes
35,High School,Healthcare,3,Urban,22,Married,Self-employed,2,Own,Single-family home,Female,Walking,71624,35812,30–39,16+ yrs,Yes
19,Bachelor's,Finance,0,Urban,20,Married,Part-time,3,Own,Single-family home,Male,Walking,73396,24465.33333,18–29,16+ yrs,Yes
46,High School,Technology,5,Suburban,12,Single,Full-time,1,Own,Apartment,Male,Public transit,516653,516653,40–49,11–15 yrs,Yes
38,Master's,Healthcare,5,Rural,50,Single,Full-time,5,Rent,Single-family home,Male,Car,5081535,1016307,30–39,16+ yrs,Yes
32,Bachelor's,Finance,1,Urban,0,Divorced,Full-time,1,Rent,Apartment,Female,Public transit,73856,73856,30–39,0–5 yrs,No
69,Bachelor's,Finance,3,Urban,28,Divorced,Self-employed,5,Own,Apartment,Female,Biking,72978,14595.6,60–70,16+ yrs,No
44,Bachelor's,Technology,2,Urban,47,Married,Self-employed,3,Rent,Apartment,Female,Public transit,68950,22983.33333,40–49,16+ yrs,Yes
67,Bachelor's,Technology,0,Suburban,6,Married,Part-time,3,Rent,Single-family home,Male,Walking,80613,26871,60–70,6–10 yrs,No
48,Master's,Education,1,Rural,30,Single,Full-time,5,Own,Townhouse,Male,Walking,65512,13102.4,40–49,16+ yrs,No
32,High School,Education,2,Rural,44,Single,Part-time,6,Rent,Apartment,Female,Public transit,72418,12069.66667,30–39,16+ yrs,Yes
68,High School,Technology,1,Rural,21,Single,Full-time,7,Own,Single-family home,Male,Car,72380,10340,60–70,16+ yrs,No
40,High School,Others,2,Suburban,15,Single,Part-time,2,Own,Townhouse,Male,Biking,1580196,790098,40–49,11–15 yrs,No
41,High School,Education,4,Rural,27,Single,Self-employed,6,Own,Apartment,Female,Car,137678,22946.33333,40–49,16+ yrs,Yes
61,High School,Education,4,Urban,43,Single,Full-time,7,Rent,Apartment,Female,Public transit,67962,9708.857143,60–70,16+ yrs,No
30,Bachelor's,Technology,4,Rural,38,Married,Full-time,6,Rent,Townhouse,Female,Car,75116,12519.33333,30–39,16+ yrs,Yes
39,Bachelor's,Finance,1,Suburban,24,Single,Full-time,3,Own,Apartment,Male,Car,69604,23201.33333,30–39,16+ yrs,No
60,Doctorate,Finance,4,Urban,13,Single,Full-time,5,Rent,Apartment,Female,Public transit,74666,14933.2,60–70,11–15 yrs,No
54,High School,Healthcare,0,Urban,49,Married,Part-time,3,Rent,Single-family home,Female,Car,983332,327777.3333,50–59,16+ yrs,Yes
50,Bachelor's,Technology,0,Urban,20,Single,Full-time,1,Own,Apartment,Female,Car,65832,65832,50–59,16+ yrs,No
20,Doctorate,Technology,4,Suburban,18,Single,Part-time,4,Rent,Townhouse,Female,Car,73840,18460,18–29,16+ yrs,Yes
36,Master's,Technology,2,Urban,12,Single,Part-time,2,Own,Townhouse,Female,Car,71956,35978,30–39,11–15 yrs,No
40,Bachelor's,Technology,2,Urban,1,Married,Self-employed,4,Rent,Single-family home,Male,Public transit,69876,17469,40–49,0–5 yrs,No
46,Bachelor's,Finance,1,Suburban,50,Married,Self-employed,2,Rent,Apartment,Male,Biking,75458,37729,40–49,16+ yrs,Yes
47,Master's,Finance,2,Urban,35,Married,Part-time,1,Own,Apartment,Male,Car,73114,73114,40–49,16+ yrs,Yes
56,Bachelor's,Technology,3,Suburban,13,Single,Full-time,7,Own,Apartment,Male,Public transit,72526,10360.85714,50–59,11–15 yrs,No
61,High School,Technology,2,Suburban,33,Married,Full-time,5,Own,Apartment,Female,Public transit,68868,13773.6,60–70,16+ yrs,No
64,Master's,Education,0,Rural,17,Single,Part-time,6,Own,Townhouse,Male,Public transit,6605191,1100865.167,60–70,16+ yrs,No
42,Bachelor's,Healthcare,5,Urban,23,Single,Full-time,5,Own,Single-family home,Male,Public transit,71322,14264.4,40–49,16+ yrs,No
54,High School,Others,2,Rural,29,Married,Self-employed,5,Own,Townhouse,Female,Car,70666,14133.2,50–59,16+ yrs,No
64,Bachelor's,Technology,1,Urban,50,Married,Full-time,1,Own,Single-family home,Male,Car,222144,222144,60–70,16+ yrs,Yes
25,Bachelor's,Technology,2,Urban,18,Single,Self-employed,6,Own,Single-family home,Female,Walking,67392,11232,18–29,16+ yrs,Yes
59,Master's,Finance,1,Urban,35,Married,Part-time,4,Rent,Townhouse,Male,Car,68546,17136.5,50–59,16+ yrs,No
33,High School,Healthcare,3,Urban,20,Single,Self-employed,7,Own,Single-family home,Male,Biking,74052,10578.85714,30–39,16+ yrs,Yes
25,Master's,Others,4,Rural,18,Single,Self-employed,3,Own,Apartment,Female,Car,433855,144618.3333,18–29,16+ yrs,Yes
18,Bachelor's,Finance,3,Urban,25,Single,Full-time,6,Own,Single-family home,Female,Biking,72476,12079.33333,18–29,16+ yrs,Yes
61,Bachelor's,Finance,0,Rural,34,Divorced,Part-time,6,Rent,Single-family home,Female,Public transit,66696,11116,60–70,16+ yrs,No
22,High School,Healthcare,5,Urban,39,Single,Full-time,5,Own,Townhouse,Male,Walking,69310,13862,18–29,16+ yrs,Yes
20,Master's,Technology,3,Urban,3,Married,Self-employed,3,Own,Apartment,Female,Car,65412,21804,18–29,0–5 yrs,No
18,Master's,Healthcare,3,Urban,20,Single,Part-time,4,Own,Apartment,Male,Car,68674,17168.5,18–29,16+ yrs,Yes
21,Bachelor's,Technology,0,Urban,2,Married,Full-time,3,Own,Single-family home,Male,Biking,70036,23345.33333,18–29,0–5 yrs,No
57,High School,Finance,0,Rural,4,Married,Self-employed,3,Rent,Townhouse,Male,Public transit,7536670,2512223.333,50–59,0–5 yrs,No
52,Bachelor's,Healthcare,4,Suburban,42,Single,Full-time,6,Rent,Single-family home,Female,Public transit,2673017,445502.8333,50–59,16+ yrs,Yes
49,Master's,Technology,4,Urban,28,Married,Full-time,3,Own,Apartment,Female,Car,70710,23570,40–49,16+ yrs,Yes
59,High School,Education,2,Suburban,18,Married,Part-time,1,Own,Apartment,Male,Public transit,42436,42436,50–59,16+ yrs,Yes
51,Bachelor's,Finance,1,Urban,50,Single,Self-employed,4,Own,Townhouse,Female,Public transit,69640,17410,50–59,16+ yrs,Yes
60,Bachelor's,Technology,0,Urban,16,Married,Self-employed,7,Rent,Apartment,Male,Car,7119340,1017048.571,60–70,16+ yrs,No
42,Bachelor's,Education,3,Urban,33,Single,Part-time,3,Own,Single-family home,Female,Public transit,74348,24782.66667,40–49,16+ yrs,Yes
27,Bachelor's,Education,3,Urban,19,Married,Full-time,5,Rent,Apartment,Male,Public transit,66014,13202.8,18–29,16+ yrs,Yes
38,High School,Others,4,Rural,27,Married,Full-time,5,Own,Apartment,Female,Public transit,72330,14466,30–39,16+ yrs,Yes
63,Master's,Technology,1,Urban,8,Single,Full-time,6,Own,Apartment,Male,Public transit,71844,11974,60–70,6–10 yrs,No
56,Bachelor's,Education,0,Urban,2,Married,Full-time,4,Own,Apartment,Male,Car,147133,36783.25,50–59,0–5 yrs,No
44,Bachelor's,Healthcare,4,Urban,9,Single,Part-time,6,Own,Single-family home,Female,Walking,2076837,346139.5,40–49,6–10 yrs,No
44,Bachelor's,Education,1,Urban,20,Single,Part-time,1,Rent,Single-family home,Male,Car,46941,46941,40–49,16+ yrs,No
19,High School,Finance,0,Urban,40,Married,Part-time,3,Own,Apartment,Female,Car,71500,23833.33333,18–29,16+ yrs,Yes
58,Master's,Finance,3,Urban,3,Single,Full-time,7,Own,Single-family home,Male,Car,66832,9547.428571,50–59,0–5 yrs,No
65,Bachelor's,Healthcare,3,Suburban,21,Single,Full-time,1,Own,Apartment,Female,Walking,7443460,7443460,60–70,16+ yrs,Yes
30,Bachelor's,Education,4,Urban,6,Single,Full-time,4,Own,Apartment,Male,Car,85593,21398.25,30–39,6–10 yrs,No
26,Bachelor's,Healthcare,1,Urban,11,Married,Part-time,2,Rent,Townhouse,Female,Walking,268483,134241.5,18–29,11–15 yrs,No
69,Bachelor's,Others,3,Urban,10,Single,Full-time,5,Own,Single-family home,Female,Public transit,7721442,1544288.4,60–70,6–10 yrs,No
53,High School,Technology,1,Urban,21,Single,Full-time,3,Own,Single-family home,Male,Biking,71856,23952,50–59,16+ yrs,No
39,High School,Finance,4,Suburban,28,Single,Full-time,3,Own,Apartment,Female,Car,72412,24137.33333,30–39,16+ yrs,Yes
59,High School,Finance,2,Urban,26,Single,Part-time,4,Own,Single-family home,Male,Biking,69706,17426.5,50–59,16+ yrs,No
43,Master's,Others,1,Urban,46,Married,Full-time,4,Own,Apartment,Male,Biking,69024,17256,40–49,16+ yrs,Yes
29,High School,Others,5,Urban,19,Married,Full-time,6,Own,Single-family home,Male,Public transit,4570373,761728.8333,18–29,16+ yrs,Yes
34,High School,Healthcare,1,Rural,13,Married,Part-time,6,Rent,Apartment,Male,Walking,71726,11954.33333,30–39,11–15 yrs,No
31,Master's,Others,4,Suburban,6,Married,Part-time,6,Rent,Single-family home,Female,Public transit,6550812,1091802,30–39,6–10 yrs,No
31,High School,Others,5,Urban,14,Single,Full-time,1,Own,Single-family home,Female,Public transit,1064202,1064202,30–39,11–15 yrs,Yes
51,Bachelor's,Education,2,Urban,45,Married,Full-time,6,Rent,Apartment,Female,Car,129120,21520,50–59,16+ yrs,Yes
70,Bachelor's,Finance,3,Urban,27,Married,Full-time,5,Own,Single-family home,Male,Car,72256,14451.2,60–70,16+ yrs,No
37,High School,Finance,0,Suburban,42,Married,Full-time,1,Rent,Apartment,Male,Car,67658,67658,30–39,16+ yrs,Yes
28,Bachelor's,Finance,4,Urban,9,Married,Full-time,4,Rent,Single-family home,Female,Public transit,691577,172894.25,18–29,6–10 yrs,No
33,High School,Healthcare,0,Urban,50,Divorced,Full-time,5,Rent,Townhouse,Female,Walking,75230,15046,30–39,16+ yrs,Yes
68,Master's,Technology,2,Urban,2,Married,Full-time,4,Own,Townhouse,Female,Car,67448,16862,60–70,0–5 yrs,No
48,Bachelor's,Healthcare,5,Urban,11,Divorced,Self-employed,6,Own,Townhouse,Female,Car,68098,11349.66667,40–49,11–15 yrs,No
23,High School,Finance,2,Urban,12,Married,Full-time,1,Rent,Single-family home,Male,Public transit,935750,935750,18–29,11–15 yrs,Yes
36,High School,Others,1,Urban,38,Single,Full-time,6,Rent,Townhouse,Female,Car,6512944,1085490.667,30–39,16+ yrs,Yes
54,Bachelor's,Technology,0,Urban,43,Married,Full-time,1,Own,Apartment,Male,Car,73930,73930,50–59,16+ yrs,Yes
21,High School,Technology,0,Urban,33,Single,Self-employed,1,Own,Apartment,Female,Walking,66710,66710,18–29,16+ yrs,Yes
64,High School,Finance,2,Urban,0,Single,Part-time,2,Rent,Apartment,Male,Public transit,72876,36438,60–70,0–5 yrs,No
21,Bachelor's,Education,5,Urban,37,Married,Part-time,1,Own,Single-family home,Male,Public transit,66050,66050,18–29,16+ yrs,Yes
37,Master's,Technology,0,Urban,24,Single,Part-time,3,Own,Apartment,Female,Car,74786,24928.66667,30–39,16+ yrs,Yes
27,Bachelor's,Finance,3,Rural,18,Single,Full-time,1,Own,Single-family home,Female,Car,65428,65428,18–29,16+ yrs,Yes
41,Master's,Healthcare,2,Urban,24,Married,Self-employed,6,Rent,Apartment,Male,Walking,3513048,585508,40–49,16+ yrs,No
52,Master's,Healthcare,1,Urban,5,Single,Full-time,4,Rent,Apartment,Male,Public transit,31545,7886.25,50–59,0–5 yrs,No
43,High School,Finance,1,Suburban,44,Single,Full-time,7,Rent,Townhouse,Male,Car,66618,9516.857143,40–49,16+ yrs,Yes
54,Master's,Education,1,Urban,3,Married,Full-time,6,Own,Single-family home,Female,Public transit,74678,12446.33333,50–59,0–5 yrs,No
55,Master's,Others,0,Urban,25,Single,Part-time,1,Own,Single-family home,Female,Public transit,67080,67080,50–59,16+ yrs,No
38,Bachelor's,Education,2,Urban,25,Married,Full-time,4,Rent,Apartment,Male,Public transit,71594,17898.5,30–39,16+ yrs,Yes
57,Doctorate,Healthcare,1,Urban,25,Married,Part-time,4,Rent,Apartment,Male,Car,65452,16363,50–59,16+ yrs,No
56,High School,Technology,2,Urban,13,Married,Full-time,6,Own,Single-family home,Female,Biking,65040,10840,50–59,11–15 yrs,No
38,High School,Technology,0,Urban,31,Single,Full-time,5,Rent,Single-family home,Female,Biking,73382,14676.4,30–39,16+ yrs,Yes
27,Master's,Technology,3,Suburban,47,Married,Full-time,7,Rent,Townhouse,Female,Public transit,64928,9275.428571,18–29,16+ yrs,Yes
55,Bachelor's,Technology,3,Suburban,27,Single,Self-employed,2,Own,Apartment,Female,Public transit,69534,34767,50–59,16+ yrs,Yes
63,Bachelor's,Technology,3,Urban,1,Married,Full-time,7,Rent,Apartment,Male,Car,1020036,145719.4286,60–70,0–5 yrs,No
21,High School,Technology,0,Suburban,40,Married,Part-time,4,Own,Apartment,Male,Walking,66522,16630.5,18–29,16+ yrs,Yes
62,Master's,Healthcare,1,Urban,44,Married,Part-time,4,Own,Single-family home,Male,Car,68840,17210,60–70,16+ yrs,No
37,Master's,Education,0,Urban,20,Married,Self-employed,3,Own,Apartment,Female,Car,66272,22090.66667,30–39,16+ yrs,No
34,Bachelor's,Healthcare,2,Urban,45,Married,Self-employed,1,Own,Single-family home,Male,Biking,66941,66941,30–39,16+ yrs,Yes
24,Doctorate,Healthcare,3,Urban,13,Married,Self-employed,2,Rent,Apartment,Male,Walking,68258,34129,18–29,11–15 yrs,Yes
21,Bachelor's,Healthcare,2,Urban,36,Single,Full-time,2,Own,Townhouse,Male,Car,73876,36938,18–29,16+ yrs,Yes
46,High School,Healthcare,0,Urban,1,Married,Full-time,6,Rent,Single-family home,Male,Car,3417888,569648,40–49,0–5 yrs,No
31,Bachelor's,Others,4,Urban,4,Married,Full-time,7,Rent,Single-family home,Male,Car,928036,132576.5714,30–39,0–5 yrs,No
20,Master's,Healthcare,4,Suburban,37,Married,Part-time,5,Rent,Single-family home,Female,Public transit,537860,107572,18–29,16+ yrs,Yes
41,High School,Healthcare,0,Urban,1,Married,Full-time,4,Rent,Single-family home,Female,Public transit,580327,145081.75,40–49,0–5 yrs,No
54,High School,Finance,1,Urban,0,Single,Part-time,4,Own,Townhouse,Male,Biking,69704,17426,50–59,0–5 yrs,No
33,Master's,Education,5,Urban,47,Single,Full-time,3,Own,Single-family home,Male,Car,70454,23484.66667,30–39,16+ yrs,Yes
69,Doctorate,Education,2,Urban,21,Married,Full-time,2,Rent,Single-family home,Male,Public transit,72834,36417,60–70,16+ yrs,No
21,Bachelor's,Education,0,Suburban,40,Married,Part-time,1,Rent,Townhouse,Male,Public transit,3130568,3130568,18–29,16+ yrs,Yes
41,High School,Education,0,Rural,24,Single,Self-employed,5,Own,Apartment,Female,Biking,1482244,296448.8,40–49,16+ yrs,No
51,Doctorate,Education,4,Suburban,45,Single,Part-time,5,Own,Apartment,Female,Public transit,68376,13675.2,50–59,16+ yrs,Yes
47,Master's,Healthcare,3,Suburban,29,Married,Full-time,5,Rent,Apartment,Male,Car,457981,91596.2,40–49,16+ yrs,No
35,Bachelor's,Others,3,Urban,8,Married,Self-employed,5,Own,Apartment,Male,Biking,3277785,655557,30–39,6–10 yrs,No
36,Master's,Healthcare,5,Urban,36,Single,Part-time,6,Own,Apartment,Female,Biking,75068,12511.33333,30–39,16+ yrs,Yes
48,Master's,Healthcare,1,Urban,46,Married,Part-time,2,Own,Single-family home,Female,Biking,71210,35605,40–49,16+ yrs,Yes
36,Master's,Technology,1,Rural,9,Married,Full-time,4,Rent,Apartment,Female,Public transit,301742,75435.5,30–39,6–10 yrs,No
66,Master's,Education,5,Urban,14,Single,Part-time,2,Own,Townhouse,Female,Walking,70224,35112,60–70,11–15 yrs,Yes
63,Bachelor's,Education,1,Urban,48,Single,Full-time,6,Own,Apartment,Female,Public transit,70992,11832,60–70,16+ yrs,No
36,Bachelor's,Finance,4,Urban,2,Divorced,Self-employed,7,Own,Apartment,Male,Car,67384,9626.285714,30–39,0–5 yrs,No
39,Bachelor's,Others,0,Urban,7,Single,Full-time,1,Own,Single-family home,Male,Public transit,69334,69334,30–39,6–10 yrs,No
41,Bachelor's,Finance,1,Urban,24,Married,Part-time,5,Own,Apartment,Female,Biking,72098,14419.6,40–49,16+ yrs,No
62,Master's,Healthcare,4,Suburban,35,Married,Part-time,6,Rent,Single-family home,Female,Walking,445390,74231.66667,60–70,16+ yrs,No
29,Doctorate,Others,2,Urban,42,Single,Full-time,2,Own,Townhouse,Male,Biking,67326,33663,18–29,16+ yrs,Yes
47,Bachelor's,Education,0,Suburban,50,Single,Part-time,1,Rent,Single-family home,Female,Public transit,638922,638922,40–49,16+ yrs,Yes
55,Bachelor's,Healthcare,5,Rural,45,Married,Part-time,3,Own,Apartment,Male,Car,132425,44141.66667,50–59,16+ yrs,Yes
70,Bachelor's,Technology,2,Suburban,49,Married,Part-time,7,Rent,Single-family home,Female,Car,5857775,836825,60–70,16+ yrs,No
48,Bachelor's,Finance,3,Rural,20,Single,Full-time,5,Own,Townhouse,Male,Car,74506,14901.2,40–49,16+ yrs,No
53,Bachelor's,Healthcare,3,Urban,33,Married,Self-employed,6,Rent,Apartment,Male,Biking,1422700,237116.6667,50–59,16+ yrs,No
36,High School,Technology,0,Rural,26,Married,Part-time,4,Rent,Townhouse,Female,Public transit,3834732,958683,30–39,16+ yrs,Yes
65,Bachelor's,Others,1,Urban,8,Single,Full-time,4,Rent,Single-family home,Male,Public transit,37341,9335.25,60–70,6–10 yrs,No
62,High School,Healthcare,0,Suburban,9,Married,Part-time,4,Own,Single-family home,Male,Public transit,1234364,308591,60–70,6–10 yrs,No
53,High School,Technology,1,Urban,26,Single,Self-employed,1,Own,Single-family home,Male,Car,44199,44199,50–59,16+ yrs,No
47,Master's,Education,5,Urban,24,Married,Part-time,2,Own,Apartment,Male,Public transit,1630364,815182,40–49,16+ yrs,Yes
66,High School,Education,3,Urban,12,Married,Full-time,5,Own,Apartment,Female,Public transit,327033,65406.6,60–70,11–15 yrs,No
50,Bachelor's,Healthcare,0,Urban,50,Married,Part-time,5,Rent,Single-family home,Female,Biking,3037755,607551,50–59,16+ yrs,Yes
35,High School,Technology,0,Rural,3,Single,Full-time,6,Own,Single-family home,Female,Public transit,161994,26999,30–39,0–5 yrs,No
69,High School,Education,5,Suburban,15,Married,Part-time,5,Rent,Single-family home,Male,Public transit,1904987,380997.4,60–70,11–15 yrs,No
66,Master's,Finance,1,Urban,11,Married,Part-time,5,Own,Apartment,Female,Biking,71252,14250.4,60–70,11–15 yrs,No
45,Bachelor's,Others,3,Urban,24,Married,Full-time,3,Rent,Apartment,Female,Public transit,66148,22049.33333,40–49,16+ yrs,No
64,Master's,Others,3,Suburban,47,Married,Full-time,7,Rent,Townhouse,Male,Public transit,69650,9950,60–70,16+ yrs,No
28,Bachelor's,Healthcare,1,Urban,48,Divorced,Full-time,6,Own,Single-family home,Female,Biking,67546,11257.66667,18–29,16+ yrs,Yes
62,High School,Healthcare,5,Suburban,15,Married,Full-time,5,Own,Apartment,Female,Public transit,287312,57462.4,60–70,11–15 yrs,No
50,Bachelor's,Education,1,Urban,38,Single,Full-time,3,Rent,Single-family home,Female,Car,2248558,749519.3333,50–59,16+ yrs,Yes
34,Master's,Finance,5,Urban,1,Married,Self-employed,2,Rent,Apartment,Female,Biking,72026,36013,30–39,0–5 yrs,Yes
23,Bachelor's,Others,1,Rural,8,Single,Part-time,4,Rent,Single-family home,Male,Public transit,65982,16495.5,18–29,6–10 yrs,No
21,Master's,Finance,3,Urban,43,Married,Part-time,3,Own,Single-family home,Female,Public transit,70628,23542.66667,18–29,16+ yrs,Yes
37,Bachelor's,Technology,3,Urban,12,Married,Full-time,4,Rent,Apartment,Female,Walking,53113,13278.25,30–39,11–15 yrs,No
65,Bachelor's,Healthcare,0,Rural,13,Divorced,Full-time,4,Own,Townhouse,Female,Car,74650,18662.5,60–70,11–15 yrs,No
64,Master's,Finance,5,Rural,11,Divorced,Full-time,7,Own,Apartment,Male,Walking,3369657,481379.5714,60–70,11–15 yrs,No
44,Master's,Healthcare,3,Rural,34,Married,Part-time,1,Rent,Townhouse,Female,Car,2819037,2819037,40–49,16+ yrs,Yes
32,Bachelor's,Healthcare,5,Urban,21,Married,Part-time,3,Own,Single-family home,Male,Public transit,71710,23903.33333,30–39,16+ yrs,Yes
23,High School,Others,5,Urban,20,Married,Part-time,7,Own,Townhouse,Male,Car,6161738,880248.2857,18–29,16+ yrs,Yes
64,Bachelor's,Technology,2,Urban,47,Single,Full-time,5,Own,Apartment,Male,Car,72186,14437.2,60–70,16+ yrs,No
31,Bachelor's,Healthcare,2,Urban,49,Married,Full-time,6,Own,Townhouse,Female,Walking,103034,17172.33333,30–39,16+ yrs,Yes
28,Doctorate,Education,1,Suburban,2,Married,Part-time,1,Own,Single-family home,Female,Walking,65438,65438,18–29,0–5 yrs,No
56,Bachelor's,Healthcare,5,Urban,21,Married,Full-time,5,Own,Apartment,Male,Biking,69320,13864,50–59,16+ yrs,No
26,High School,Technology,1,Urban,8,Single,Full-time,6,Own,Single-family home,Female,Public transit,70806,11801,18–29,6–10 yrs,No
43,Doctorate,Healthcare,1,Rural,46,Single,Full-time,4,Rent,Single-family home,Male,Public transit,74442,18610.5,40–49,16+ yrs,Yes
33,Master's,Others,0,Rural,39,Married,Part-time,7,Rent,Single-family home,Female,Public transit,464328,66332.57143,30–39,16+ yrs,Yes
22,High School,Education,2,Urban,41,Single,Self-employed,1,Own,Single-family home,Male,Public transit,73914,73914,18–29,16+ yrs,Yes
69,Master's,Technology,2,Urban,2,Single,Full-time,5,Own,Townhouse,Male,Biking,73852,14770.4,60–70,0–5 yrs,No
27,Bachelor's,Healthcare,3,Suburban,30,Single,Full-time,5,Rent,Single-family home,Male,Biking,1396400,279280,18–29,16+ yrs,Yes
67,Bachelor's,Healthcare,2,Urban,36,Divorced,Part-time,2,Own,Single-family home,Male,Public transit,73510,36755,60–70,16+ yrs,No
20,Master's,Technology,3,Suburban,5,Married,Self-employed,1,Rent,Apartment,Female,Car,129826,129826,18–29,0–5 yrs,Yes
30,Bachelor's,Finance,5,Suburban,13,Married,Part-time,1,Own,Townhouse,Female,Public transit,67214,67214,30–39,11–15 yrs,Yes
60,High School,Healthcare,0,Urban,18,Single,Self-employed,4,Rent,Single-family home,Male,Public transit,4944170,1236042.5,60–70,16+ yrs,No
66,Bachelor's,Technology,1,Urban,17,Single,Part-time,6,Rent,Townhouse,Female,Biking,4558614,759769,60–70,16+ yrs,No
47,Master's,Finance,1,Urban,6,Single,Full-time,7,Rent,Single-family home,Female,Public transit,65466,9352.285714,40–49,6–10 yrs,No
62,High School,Education,5,Urban,35,Married,Part-time,4,Own,Single-family home,Male,Public transit,4317124,1079281,60–70,16+ yrs,Yes
23,Bachelor's,Healthcare,3,Urban,28,Married,Self-employed,1,Own,Townhouse,Male,Public transit,58553,58553,18–29,16+ yrs,Yes
34,Bachelor's,Education,4,Suburban,2,Single,Part-time,7,Own,Single-family home,Female,Walking,65456,9350.857143,30–39,0–5 yrs,No
62,Bachelor's,Technology,5,Rural,12,Single,Part-time,2,Rent,Single-family home,Female,Public transit,65876,32938,60–70,11–15 yrs,Yes
68,Bachelor's,Healthcare,3,Urban,35,Single,Full-time,7,Own,Single-family home,Female,Walking,74386,10626.57143,60–70,16+ yrs,No
70,Master's,Education,5,Rural,40,Married,Part-time,2,Own,Single-family home,Female,Biking,442641,221320.5,60–70,16+ yrs,Yes
36,Bachelor's,Technology,0,Urban,24,Married,Part-time,6,Rent,Single-family home,Female,Biking,1934231,322371.8333,30–39,16+ yrs,Yes
59,Bachelor's,Others,5,Suburban,27,Married,Part-time,7,Rent,Townhouse,Male,Public transit,68344,9763.428571,50–59,16+ yrs,No
52,High School,Education,5,Urban,37,Married,Part-time,4,Own,Townhouse,Female,Public transit,69860,17465,50–59,16+ yrs,Yes
63,Bachelor's,Healthcare,2,Urban,10,Single,Full-time,3,Own,Apartment,Female,Walking,65154,21718,60–70,6–10 yrs,No
43,Master's,Technology,3,Urban,40,Married,Part-time,5,Own,Apartment,Female,Car,72932,14586.4,40–49,16+ yrs,Yes
68,Bachelor's,Healthcare,0,Urban,8,Single,Full-time,4,Rent,Apartment,Male,Biking,71136,17784,60–70,6–10 yrs,No
22,Bachelor's,Healthcare,1,Urban,21,Single,Full-time,2,Own,Apartment,Male,Car,74556,37278,18–29,16+ yrs,Yes
46,Bachelor's,Technology,4,Suburban,20,Single,Self-employed,7,Own,Single-family home,Female,Car,65114,9302,40–49,16+ yrs,No
